Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
32,Will Clark,2000,36,BALSTL,ALNL,130,507,427,78,136,83,30,2,21,70,5,2,69,69,.319,.418,.546,.964,145,233,7,7,0,4,3,*3/DH,clarkwi02
33,Royce Clayton,2000,30,TEX,AL,148,573,513,70,124,84,21,5,14,54,11,7,42,92,.242,.301,.384,.685,72,197,21,3,12,3,1,*6,claytro01
34,Ron Coomer,2000,33,MIN,AL,140,589,544,64,147,101,29,1,16,82,2,0,36,50,.270,.317,.415,.733,81,226,25,4,0,5,2,*3/D5H,coomero01
35,Wil Cordero,2000,28,CLEPIT,ALNL,127,536,496,64,137,81,35,5,16,68,1,2,32,76,.276,.328,.464,.792,98,230,18,7,0,1,1,*7/HD,cordewi01
36,Deivi Cruz,2000,27,DET,AL,156,615,583,68,176,115,46,5,10,82,1,4,13,43,.302,.318,.449,.767,97,262,25,4,8,7,2,*6/H,cruzde01
37,José Cruz,2000,26,TOR,AL,162,681,603,91,146,78,32,5,31,76,15,5,71,129,.242,.323,.466,.789,95,281,11,2,2,3,3,*8,cruzjo02
38,Johnny Damon,2000,26,KCR,AL,159,741,655,136,214,146,42,10,16,88,46,9,65,60,.327,.382,.495,.877,118,324,7,1,8,12,4,*87D/H,damonjo01
39,Brian Daubach,2000,28,BOS,AL,142,549,495,55,123,68,32,2,21,76,1,1,44,130,.248,.315,.448,.764,89,222,6,6,0,4,2,3DH/759,daubabr01
40,Carlos Delgado,2000,28,TOR,AL,162,711,569,115,196,97,57,1,41,137,0,1,123,104,.344,.470,.664,1.134,181,378,12,15,0,4,18,*3,delgaca01
41,Delino DeShields,2000,31,BAL,AL,151,643,561,84,166,108,43,5,10,86,37,10,69,82,.296,.369,.444,.813,110,249,16,1,3,9,2,47D/H8,deshide01
42,Ray Durham,2000,28,CHW,AL,151,709,614,121,172,111,35,9,17,75,25,13,75,105,.280,.361,.450,.810,103,276,13,7,5,8,0,*4/H,durhara01
43,Jermaine Dye,2000,26,KCR,AL,157,679,601,107,193,117,41,2,33,118,0,1,69,99,.321,.390,.561,.951,135,337,12,3,0,6,6,*9D/H,dyeje01
44,Damion Easley,2000,30,DET,AL,126,535,464,76,120,77,27,2,14,58,13,4,55,79,.259,.350,.416,.766,99,193,11,11,4,1,1,*4,easleda01
45,Jim Edmonds,2000,30,STL,NL,152,643,525,129,155,88,25,0,42,108,10,3,103,167,.295,.411,.583,.994,147,306,5,6,1,8,3,*8/3H,edmonji01
46,Juan Encarnación,2000,24,DET,AL,141,590,547,75,158,113,25,6,14,72,16,4,29,90,.289,.330,.433,.764,97,237,15,7,3,4,1,*8,encarju01
47,Darin Erstad,2000,26,ANA,AL,157,747,676,121,240,170,39,6,25,100,28,8,64,82,.355,.409,.541,.951,137,366,8,1,2,4,9,*78D/3H,erstada01
48,Carl Everett,2000,29,BOS,AL,137,561,496,82,149,79,32,4,34,108,11,4,52,113,.300,.373,.587,.959,136,291,4,8,0,5,5,*8H/D,evereca01
49,Steve Finley,2000,35,ARI,NL,152,623,539,100,151,84,27,5,35,96,12,6,65,87,.280,.361,.544,.904,121,293,9,8,2,9,7,*8/DH,finlest01
50,Travis Fryman,2000,31,CLE,AL,155,658,574,93,184,120,38,4,22,106,1,1,73,111,.321,.392,.516,.908,127,296,15,1,0,10,2,*5/3D,frymatr01
51,Brad Fullmer,2000,25,TOR,AL,133,524,482,76,142,80,29,1,32,104,3,1,30,68,.295,.340,.558,.898,120,269,14,6,0,6,3,*DH/3,fullmbr01
52,Rafael Furcal,2000,22,ATL,NL,131,542,455,87,134,106,20,4,4,37,40,14,73,80,.295,.394,.382,.776,98,174,2,3,9,2,0,*64/H,furcara02
